AI AIA
IR IRN
VC VCT
YT MYT
LT LTU
MU MUS
NE NER
SI SVN
WF WLF
GP GLP
PG PNG
MA MAR
EC ECU
MK MKD
RU RUS
GW GNB
SL SLE
VU VUT
PE PER
MP MNP
TZ TZA
TV TUV
DK DNK
MT MLT
CF CAF
MW MWI
EE EST
BF BFA
PA PAN
IL ISR
TG TGO
DE DEU
OM OMN
TW TWN
LC LCA
MZ MOZ
FI FIN
GL GRL
SR SUR
LK LKA
GA GAB
US USA
LI LIE
UY URY
CV CPV
SB SLB
GH GHA
BH BHR
BT BTN
EH ESH
MG MDG
LV LVA
BB BRB
GI GIB
LR LBR
ME MNE
DM DMA
GT GTM
ML MLI
IS ISL
KW KWT
SC SYC
MY MYS
TL TMP
SY SYR
IE IRL
PW PLW
IN IND
MR MRT
TT TTO
SV SLV
LS LSO
WS WSM
MO MAC
LA LAO
NL NLD
PF PYF
RO ROM
AM ARM
MM MMR
TC TCA
NC NCL
RE REU
MQ MTQ
CG COG
JO JOR
AR ARG
CI CIV
HK HKG
MN MNG
EG EGY
CM CMR
FR FRA
BR BRA
TN TUN
SE SWE
IQ IRQ
HN HND
NA NAM
YE YEM
QA QAT
CR CRI
KE KEN
NZ NZL
KZ KAZ
GN GIN
DZ DZA
BE BEL
BG BGR
GQ GNQ
ES ESP
ZM ZMB
PH PHL
KI KIR
CH CHE
IT ITA
BZ BLZ
LB LBN
KR KOR
NI NIC
GU GUM
CZ CZE
CY CYP
GM GMB
AZ AZE
ER ERI
PY PRY
UZ UZB
IM IMN
LU LUX
CL CHL
JP JPN
PS PSE
VI USA
ID IDN
DJ DJI
GD GRD
VG VGB
BY BLR
KH KHM
NR NRU
ZW ZWE
FO FRO
AE ARE
FM FSM
KM COM
CK COK
FJ FJI
TR TUR
SG SGP
AT AUT
RW RWA
KG KGZ
ZA ZAF
BN BRN
CO COL
BJ BEN
MX MEX
NO NOR
MH MHL
TM TKM
SD SDN
JM JAM
BO BOL
SN SEN
SO SOM
SK SVK
UG UGA
VN VNM
BM BMU
AO AGO
UA UKR
HT HTI
SZ SWZ
PR PRI
DO DMA
ET ETH
GR GRC
BD BGD
CU CUB
GY GUY
TH THA
MV MDV
BI BDI
VE VEN
MD MDA
NP NPL
KP PRK
HR HRV
AL ALB
AG ATG
GF GUY
RS SRB
NG NGA
LY LBY
HU HUN
CN CHN
AU AUS
BA BIH
PL POL
AD AND
PK PAK
BW BWA
TO TON
AF AFG
AW ABW
GE GEO
SA SAU
CA CAN
SM SMR
KY CYM
BS BHS
TD TCD
PT PRT
CD COD
ST STP
AS ASM
TJ TJK
KN KNA
GB GBR
MC MCO
